


materialPath: D:\Steam\steamapps\common\Counter-Strike Global Offensive\csgo\materials
Loading D:\OneDrive\Desktop\csgo\hammer maps\dust 2 double doors\updated\de_dust2_d.vmf
Brush 2461: bounds out of range
Brush 2473: bounds out of range
Brush 2491: bounds out of range
Brush 2497: bounds out of range
Brush 2503: bounds out of range
Brush 2509: bounds out of range
Brush 2521: bounds out of range
Brush 2521: bounds out of range
Brush 2527: bounds out of range
Brush 2527: bounds out of range
Brush 2533: bounds out of range
Brush 2533: bounds out of range
Brush 2540: bounds out of range
Brush 2548: bounds out of range
Brush 2554: bounds out of range
Brush 2560: bounds out of range
Brush 2578: bounds out of range
Brush 2578: bounds out of range
Brush 2590: bounds out of range
Brush 2590: bounds out of range
Brush 2596: bounds out of range
Brush 2596: bounds out of range
Brush 2604: bounds out of range
Brush 2604: bounds out of range
Brush 2610: bounds out of range
Brush 2610: bounds out of range
Brush 2616: bounds out of range
Brush 2616: bounds out of range
Brush 2622: bounds out of range
Brush 2622: bounds out of range
Brush 2628: bounds out of range
Brush 2628: bounds out of range
Brush 2634: bounds out of range
Brush 2634: bounds out of range
Brush 2682: bounds out of range
Brush 2700: bounds out of range
Brush 2706: bounds out of range
Brush 2717: bounds out of range
Brush 2723: bounds out of range
Brush 2751: bounds out of range
Brush 2757: bounds out of range
Brush 2782: bounds out of range
Brush 2782: bounds out of range
Brush 2796: bounds out of range
Brush 2796: bounds out of range
Brush 2802: bounds out of range
Brush 2844: bounds out of range
Brush 2850: bounds out of range
Brush 2856: bounds out of range
Brush 2862: bounds out of range
Brush 2868: bounds out of range
Brush 2880: bounds out of range
Brush 2880: bounds out of range
Brush 2888: bounds out of range
Brush 2896: bounds out of range
Brush 2902: bounds out of range
Brush 2908: bounds out of range
Brush 2914: bounds out of range
Brush 2914: bounds out of range
Brush 2920: bounds out of range
Brush 2926: bounds out of range
Brush 2932: bounds out of range
Brush 2938: bounds out of range
Brush 2944: bounds out of range
Brush 2950: bounds out of range
Brush 2956: bounds out of range
Brush 2956: bounds out of range
Brush 2962: bounds out of range
Brush 2968: bounds out of range
Brush 2974: bounds out of range
Brush 2980: bounds out of range
Brush 2986: bounds out of range
Brush 2998: bounds out of range
Brush 3004: bounds out of range
Brush 3010: bounds out of range
Brush 3022: bounds out of range
Brush 3034: bounds out of range
Brush 3046: bounds out of range
Brush 3058: bounds out of range
Brush 3064: bounds out of range
Brush 3070: bounds out of range
Brush 3076: bounds out of range
Brush 3082: bounds out of range
Brush 3088: bounds out of range
Brush 3100: bounds out of range
Brush 3100: bounds out of range
Brush 3106: bounds out of range
Brush 3106: bounds out of range
Brush 3124: bounds out of range
Brush 3124: bounds out of range
Brush 3136: bounds out of range
Brush 3142: bounds out of range
Brush 3151: bounds out of range
Brush 3170: bounds out of range
Brush 3170: bounds out of range
Brush 3176: bounds out of range
Brush 3182: bounds out of range
Brush 3190: bounds out of range
Brush 3238: bounds out of range
Brush 3238: bounds out of range
Brush 3244: bounds out of range
Brush 3244: bounds out of range
Brush 3250: bounds out of range
Brush 3250: bounds out of range
Brush 3256: bounds out of range
Brush 3256: bounds out of range
Brush 3262: bounds out of range
Brush 3262: bounds out of range
Brush 3268: bounds out of range
Brush 3268: bounds out of range
Brush 3274: bounds out of range
Brush 3274: bounds out of range
Brush 3280: bounds out of range
Brush 3280: bounds out of range
Brush 3286: bounds out of range
Brush 3286: bounds out of range
Brush 3292: bounds out of range
Brush 3292: bounds out of range
Brush 3328: bounds out of range
Brush 3353: bounds out of range
Brush 3365: bounds out of range
Brush 3371: bounds out of range
Brush 3377: bounds out of range
Brush 3377: bounds out of range
Brush 3383: bounds out of range
Brush 3383: bounds out of range
Brush 3389: bounds out of range
Brush 3389: bounds out of range
Brush 3395: bounds out of range
Brush 3395: bounds out of range
Brush 3401: bounds out of range
Brush 3401: bounds out of range
Brush 3407: bounds out of range
Brush 3413: bounds out of range
Brush 3413: bounds out of range
Brush 52067: bounds out of range
Brush 52081: bounds out of range
Brush 52107: bounds out of range
Brush 52121: bounds out of range
Brush 52067: bounds out of range
Brush 52081: bounds out of range
Brush 52107: bounds out of range
Brush 52121: bounds out of range
Brush 52699: bounds out of range
Brush 52705: bounds out of range
Brush 52711: bounds out of range
Brush 52717: bounds out of range
Brush 52723: bounds out of range
Brush 52729: bounds out of range
Brush 52735: bounds out of range
Brush 52741: bounds out of range
Brush 52747: bounds out of range
Brush 52747: bounds out of range
Brush 52753: bounds out of range
Brush 52753: bounds out of range
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_plaster_white_02_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_20b_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_plaster_white_01b2_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_20c_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_09_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_06_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_floortile_03_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_06c_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_floortile_01_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_sand_02_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_15c_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_18c_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_groundrough01-groundsmooth01_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_06b_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_brick_ground_02_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_plaster_white_01c_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_17b_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_17c_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_rollupdoor_metal_03_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_15_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_18_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_plaster01_rough01_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_15b_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_19c_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_19b_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_19_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_rollupdoor_metal_02_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_plaster01b_rough01_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_asphalt_06_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_17_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_12_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_12b_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_12c_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_18b_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_plaster01b_rough01_bounce_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_sand02_sand03_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_groundstone01-groundsmooth01_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_groundrough02-groundsmooth01_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_groundrough01-groundrough02_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_18b_bounce_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_18_bounce_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_18c_bounce_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_stone_ground_01_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_plaster01_rough01_bounce_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_groundstone01-groundrough01_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_groundrough01-groundsweeds01_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_07c_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_09c_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_09b_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_19_bounce_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_19b_bounce_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_19c_bounce_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_11b_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_20_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_13b_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_plaster_15b2_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_rollupdoor_metal_01_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_brick_ground_04_wvt_patch
Patching WVT material: maps/de_dust2_d/de_dust/hr_dust/hr_dust_blend_asphalt_07_wvt_patch
fixing up env_cubemap materials on brush sides...

FindPortalSide: Couldn't find a good match for which brush to assign to a portal near (1222.0 2042.0 144.0)
Leaf 0 contents: CONTENTS_SOLID 
Leaf 1 contents: 
viscontents (node 0 contents ^ node 1 contents): CONTENTS_SOLID 
This means that none of the brushes in leaf 0 or 1 that touches the portal has CONTENTS_SOLID 
Check for a huge brush enclosing the coordinates above that has contents CONTENTS_SOLID 
Candidate brush IDs: Brush 52254: Brush 52261: 


FindPortalSide: Couldn't find a good match for which brush to assign to a portal near (1218.0 2022.0 144.0)
Leaf 0 contents: 
Leaf 1 contents: CONTENTS_SOLID 
viscontents (node 0 contents ^ node 1 contents): CONTENTS_SOLID 
This means that none of the brushes in leaf 0 or 1 that touches the portal has CONTENTS_SOLID 
Check for a huge brush enclosing the coordinates above that has contents CONTENTS_SOLID 
Candidate brush IDs: Brush 52365: Brush 52449: 


FindPortalSide: Couldn't find a good match for which brush to assign to a portal near (1218.0 866.0 144.0)
Leaf 0 contents: 
Leaf 1 contents: CONTENTS_SOLID 
viscontents (node 0 contents ^ node 1 contents): CONTENTS_SOLID 
This means that none of the brushes in leaf 0 or 1 that touches the portal has CONTENTS_SOLID 
Check for a huge brush enclosing the coordinates above that has contents CONTENTS_SOLID 
Candidate brush IDs: Brush 52268: 

0...1...2...3...4...5...6...7...8...9...10WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (-16392.000000, 16392.000000, 65613.867188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (-16392.000000, -0.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 0.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (0.000000, 9216.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 9216.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (9216.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16384.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16384.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16384.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16384.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16384.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16384.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (9216.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (11264.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (12288.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (12288.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (12288.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (11264.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (9216.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (11264.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (10240.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (10240.000000, 16384.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (11264.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (10240.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (10240.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (11264.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (12288.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (12288.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (12288.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (11264.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (10240.000000, 15360.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (11264.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (10240.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (10240.000000, 14336.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (11264.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (10240.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (10240.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 9216.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 12288.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 12288.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16384.000000, 12288.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16384.000000, 12288.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16384.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 12288.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 12288.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 12288.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 12288.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 9216.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 10240.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 10240.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16384.000000, 10240.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16384.000000, 10240.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16392.000000, 9216.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (16384.000000, 9216.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 9216.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 10240.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 10240.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 10240.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (15360.000000, 9216.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (14336.000000, 9216.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 9216.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (10240.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (11264.000000, 12288.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 12288.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (12288.000000, 12288.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (12288.000000, 12288.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (13312.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (12288.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (11264.000000, 11264.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (10240.000000, 13312.000000, 65535.992188))
WARNING: BSP node with unbounded volume (material: <NO BRUSH>, near (11264.000000, 12288.000000, 65535.992188))
