Name,Socket,Form Factor,Max RAM
ASRock Z370 Killer SLI/ac,LGA1151,ATX,4,64GB
Asus Rampage V Edition 10,LGA2011-3,EATX,8,128GB
Asus ROG MAXIMUS X CODE,LGA1151,ATX,4,64GB
MSI B350 KRAIT GAMING,AM4,ATX,4,64GB
MSI Z270 GAMING M7,LGA1151,ATX,4,64GB
ASRock H110M-HDV/D3,LGA1151,Micro ATX,2,32GB
MSI B250M PRO-VDH,LGA1151,Micro ATX,4,64GB
MSI Z370 TOMAHAWK,LGA1151,ATX,4,64GB
Asus STRIX B250I GAMING,LGA1151,Mini ITX,2,32GB
NZXT N7-Z37XT-W1,LGA1151,ATX,4,64GB
MSI Z370 PC PRO,LGA1151,ATX,4,64GB
Gigabyte GA-AX370-GAMING 5,AM4,ATX,4,64GB
MSI Z97-GAMING 5,LGA1150,ATX,4,32GB
ASRock X399 Taichi,TR4,ATX,8,128GB
ASRock B250 Pro4,LGA1151,ATX,4,64GB
Asus B85M-G R2.0,LGA1150,Micro ATX,4,32GB
MSI Z170A XPOWER GAMING TITANIUM EDITION,LGA1151,ATX,4,64GB
Gigabyte GA-F2A68HM-H,FM2+,Micro ATX,2,64GB
Asus H97-PRO GAMER,LGA1150,ATX,4,32GB
Asus ROG CROSSHAIR VI EXTREME,AM4,EATX,4,64GB
MSI X299 XPOWER GAMING AC,LGA2066,EATX,8,128GB
Gigabyte Z370 AORUS Ultra Gaming (rev. 1.0),LGA1151,ATX,4,64GB
Gigabyte GA-AB350-Gaming,AM4,ATX,4,64GB
Asus Z170-E,LGA1151,ATX,4,64GB
Intel DB75EN,LGA1155,Micro ATX,4,32GB
Asus STRIX Z270H,LGA1151,ATX,4,64GB
Asus ROG MAXIMUS VIII HERO ALPHA,LGA1151,ATX,4,64GB
Supermicro MBD-X10DAX,LGA2011-3 x 2,EATX,16,
ASRock Z370 Pro4,LGA1151,ATX,4,64GB
Gigabyte Z370 AORUS GAMING WIFI (rev. 1.0),LGA1151,ATX,4,64GB
MSI Z370 GAMING M5,LGA1151,ATX,4,64GB
Gigabyte GA-F2A68HM-S1,FM2+,Micro ATX,2,64GB
ASRock X79 Extreme9,LGA2011,ATX,8,64GB
MSI B350M PRO-VD PLUS,AM4,Micro ATX,2,32GB
Gigabyte Z370XP SLI (rev. 1.0),LGA1151,ATX,4,64GB
Asus TUF Z270 MARK 2,LGA1151,ATX,4,64GB
MSI X99A SLI PLUS,LGA2011-3,ATX,8,128GB
Gigabyte Z370N WIFI,LGA1151,Mini ITX,2,32GB
Asus H110M-A/M.2,LGA1151,Micro ATX,2,32GB
Asus PRIME B350M-A,AM4,Micro ATX,4,64GB
ECS KAM1-I(1.0),AM1,Mini ITX,2,16GB
Asus TUF Z370 Pro Gaming,LGA1151,ATX,4,64GB
ASRock X299 Taichi,LGA2066,ATX,8,128GB
Gigabyte GA-H110M-S2H,LGA1151,Micro ATX,2,32GB
Asus MAXIMUS IX CODE,LGA1151,ATX,4,64GB
Asus PRIME Z270-K,LGA1151,ATX,4,64GB
ASRock FM2A68M-HD+,FM2+,Micro ATX,2,32GB
Gigabyte GA-Z270X-Ultra Gaming,LGA1151,ATX,4,64GB
ASRock Z77 Extreme4,LGA1155,ATX,4,32GB
ASRock Z270 Extreme4,LGA1151,ATX,4,64GB
MSI B250 GAMING M3,LGA1151,ATX,4,64GB
Asus PRIME B250M-A,LGA1151,Micro ATX,4,64GB
MSI B350 TOMAHAWK PLUS,AM4,ATX,4,64GB
ASRock H81M-HDS R2.0,LGA1150,Micro ATX,2,16GB
ASRock EP2C602-4L/D16,LGA2011 x 2,SSI EEB,16,512GB
ASRock Fatal1ty Z370 Gaming-ITX/ac,LGA1151,Mini ITX,2,32GB
Asus PRIME B350M-A/CSM,AM4,Micro ATX,4,64GB
MSI X370 XPOWER GAMING TITANIUM,AM4,ATX,4,64GB
ASRock A88M-G/3.1,FM2+,Micro ATX,4,64GB
Gigabyte X399 AORUS Gaming 7,TR4,ATX,8,128GB
ASRock H270M-ITX/ac,LGA1151,Mini ITX,2,32GB
ASRock Fatal1ty X370 Professional Gaming,AM4,ATX,4,64GB
MSI Z270 GAMING M6 AC,LGA1151,ATX,4,64GB
ASRock X299E-ITX/ac,LGA2066,Mini ITX,4,64GB
MSI Z270 SLI PLUS,LGA1151,ATX,4,64GB
ASRock H81 Pro BTC,LGA1150,ATX,2,16GB
Asus H81M-E,LGA1150,Micro ATX,2,16GB
ASRock 990FX Extreme9,AM3+,ATX,4,64GB
Asus PRIME B350M-E,AM4,Micro ATX,2,32GB
MSI X370 GAMING M7 ACK,AM4,ATX,4,64GB
ASRock A320M Pro4,AM4,Micro ATX,4,64GB
MSI Z270I GAMING PRO CARBON AC,LGA1151,Mini ITX,2,32GB
ASRock Z270 Taichi,LGA1151,ATX,4,64GB
Asus TUF X299 MARK 2,LGA2066,ATX,8,128GB
Gigabyte X299 AORUS Gaming 7,LGA2066,ATX,8,128GB
ASRock Z270 Killer SLI/ac,LGA1151,ATX,4,64GB
Gigabyte GA-Z170X-Gaming 7,LGA1151,ATX,4,64GB
ASRock B250M Pro4,LGA1151,Micro ATX,4,64GB
Asus TUF B350M-PLUS GAMING,AM4,Micro ATX,4,64GB
Asus STRIX B250F GAMING,LGA1151,ATX,4,64GB
MSI B350M BAZOOKA,AM4,Micro ATX,4,64GB
Asus PRIME X299-A,LGA2066,ATX,8,128GB
MSI Z170A GAMING M5,LGA1151,ATX,4,64GB
Gigabyte GA-A320M-HD2,AM4,Micro ATX,2,32GB
Asus M5A99FX PRO R2.0,AM3+,ATX,4,32GB
Asus TUF Z270 MARK 1,LGA1151,ATX,4,64GB
Asus ROG MAXIMUS X APEX,LGA1151,EATX,2,32GB
MSI B250M BAZOOKA,LGA1151,Micro ATX,4,64GB
MSI H110I Pro,LGA1151,Mini ITX,2,32GB
ASRock FM2A68M-DG3+,FM2+,Micro ATX,2,32GB
Gigabyte GA-Z97X-UD3H-BK,LGA1150,ATX,4,32GB
Asus STRIX Z270F,LGA1151,ATX,4,64GB
Gigabyte X399 DESIGNARE EX,TR4,ATX,8,128GB
ASRock X99 Extreme4,LGA2011-3,ATX,8,128GB
Gigabyte GA-AB350M-D3H,AM4,Micro ATX,4,64GB
Gigabyte GA-H270N-WIFI,LGA1151,Mini ITX,2,32GB
MSI H270 TOMAHAWK ARCTIC,LGA1151,ATX,4,64GB
Asus TUF Z370 Plus Gaming,LGA1151,ATX,4,64GB
NZXT N7-Z37XT-B1,LGA1151,ATX,4,64GB
MSI Z170A KRAIT GAMING 3X,LGA1151,ATX,4,64GB
ASRock Fatal1ty AB350 Gaming K4,AM4,ATX,4,64GB
Asus Z170 PRO GAMING,LGA1151,ATX,4,64GB
MSI X99A GODLIKE GAMING,LGA2011-3,EATX,8,128GB
Asus ROG STRIX X299-XE GAMING,LGA2066,ATX,8,128GB
Asus X99-E,LGA2011-3,ATX,8,128GB
Asus X99-DELUXE II,LGA2011-3,ATX,8,128GB
Gigabyte GA-F2A88XN-WIFI,FM2+,Mini ITX,2,64GB
MSI B250M MORTAR ARCTIC,LGA1151,Micro ATX,4,64GB
Asus MAXIMUS VIII GENE,LGA1151,Micro ATX,4,64GB
Gigabyte GA-H270-Gaming 3,LGA1151,ATX,4,64GB
Asus TUF X299 MARK 1,LGA2066,ATX,8,128GB
ASRock Z170 Pro4S,LGA1151,ATX,4,64GB
Asus M5A97 R2.0,AM3+,ATX,4,32GB
ASRock Z270 Pro4,LGA1151,ATX,4,64GB
ASRock Z270M-ITX/ac,LGA1151,Mini ITX,2,32GB
MSI 970A SLI Krait Edition,AM3+,ATX,4,32GB
MSI Z370 KRAIT GAMING,LGA1151,ATX,4,64GB
MSI X370 GAMING PRO,AM4,ATX,4,64GB
Gigabyte GA-AX370-Gaming,AM4,ATX,4,64GB
ASRock Fatal1ty Z370 Gaming K6,LGA1151,ATX,4,64GB
Gigabyte GA-Z270XP-SLI,LGA1151,ATX,4,64GB
EVGA Z370 FTW,LGA1151,ATX,4,64GB
MSI X299 GAMING PRO CARBON AC,LGA2066,ATX,8,128GB
Gigabyte Z370 HD3P (rev. 1.0),LGA1151,ATX,4,64GB
ASRock Fatal1ty Z370 Professional Gaming i7,LGA1151,ATX,4,64GB
Asus STRIX Z270G,LGA1151,Micro ATX,4,64GB
MSI Z270 XPOWER GAMING TITANIUM,LGA1151,ATX,4,64GB
Asus CROSSBLADE RANGER,FM2+,ATX,4,64GB
MSI X299 GAMING M7 ACK,LGA2066,ATX,8,128GB
MSI X299 SLI PLUS,LGA2066,ATX,8,128GB
ASRock Fatal1ty Z270 Gaming K6,LGA1151,ATX,4,64GB
Gigabyte GA-Z270X-Gaming K5,LGA1151,ATX,4,64GB
Asus Q87M-E/CSM,LGA1150,Micro ATX,4,32GB
Supermicro X9SRA,LGA2011,ATX,8,64GB
Asus 970 PRO GAMING/AURA,AM3+,ATX,4,32GB
Biostar X370GTN,AM4,Mini ITX,2,32GB
MSI H110M PRO-VD PLUS,LGA1151,Micro ATX,2,32GB
ASRock A320M-HDV,AM4,Micro ATX,2,32GB
MSI X370 KRAIT GAMING,AM4,ATX,4,64GB
Asus H110M-K,LGA1151,Micro ATX,2,32GB
Asus PRIME H270M-PLUS,LGA1151,Micro ATX,4,64GB
Asus ROG Strix X399-E Gaming,TR4,EATX,8,128GB
MSI Z87I,LGA1150,Mini ITX,2,16GB
Asus ASUS Z9PA-U8 ATX Server Motherboard,LGA2011,ATX,8,64GB
Asus PRIME Z270-P,LGA1151,ATX,4,64GB
ASRock Fatal1ty X399 Professional Gaming,TR4,ATX,8,128GB
ASRock Fatal1ty X370 Gaming K4,AM4,ATX,4,64GB
Biostar TB350-BTC,AM4,ATX,2,32GB
Asus ROG STRIX B250G GAMING,LGA1151,Micro ATX,4,64GB
MSI A320M PRO-VHL,AM4,Micro ATX,2,32GB
MSI Z170A GAMING M3,LGA1151,ATX,4,64GB
Intel DH61AG,LGA1155,Thin Mini ITX,2,16GB
Gigabyte GA-Gaming B8,LGA1151,ATX,4,64GB
MSI Z97 PC MATE,LGA1150,ATX,4,32GB
Gigabyte GA-Z270-HD3,LGA1151,ATX,4,64GB
MSI Z270 GAMING M5,LGA1151,ATX,4,64GB
Supermicro MBD-X10DAL-I-O,LGA2011-3 x 2,ATX,8,512GB
Asus Crosshair V Formula-Z,AM3+,ATX,4,32GB
Asus M5A97 PLUS,AM3+,ATX,4,32GB
ASRock Fatal1ty X99X Killer,LGA2011-3,ATX,8,128GB
Intel DH67GDB3,LGA1155,Micro ATX,4,32GB
Asus MAXIMUS VII HERO,LGA1150,ATX,4,32GB
Asus ASUS B85M-E,LGA1150,Micro ATX,4,32GB
Gigabyte GA-990FXA-UD3,AM3+,ATX,4,32GB
ASRock AB350M-HDV,AM4,Micro ATX,2,32GB
Gigabyte GA-B250M-D3H,LGA1151,Micro ATX,4,64GB
MSI X299M GAMING PRO CARBON AC,LGA2066,Micro ATX,4,64GB
ASRock H110M-HDS R3.0,LGA1151,Micro ATX,2,32GB
Asus SABERTOOTH X99,LGA2011-3,ATX,8,64GB
Asus M5A97 LE R2.0,AM3+,ATX,4,32GB
ASRock X370 GAMING X,AM4,ATX,4,64GB
MSI H81M-P33,LGA1150,Micro ATX,2,16GB
Gigabyte GA-B250-HD3,LGA1151,ATX,4,64GB
MSI Z270 TOMAHAWK,LGA1151,ATX,4,64GB
Gigabyte GA-H110M-M.2,LGA1151,Micro ATX,2,32GB
Gigabyte GA-A320MA-M.2 (rev. 1.0),AM4,Micro ATX,4,64GB
Asus P9D WS,LGA1150,ATX,4,32GB
Asus P10S WS,LGA1151,ATX,4,64GB
MSI Z97S SLI Krait Edition,LGA1150,ATX,4,32GB
Asus Z97-A,LGA1150,ATX,4,32GB
MSI Z270 SLI,LGA1151,ATX,4,64GB
Asus M5A78L-M PLUS/USB3,AM3+,Micro ATX,4,32GB
Asus PRIME X370-A,AM4,ATX,4,64GB
Asus MAXIMUS VIII RANGER,LGA1151,ATX,4,64GB
Biostar TB250-BTC,LGA1151,ATX,2,32GB
Gigabyte GA-970A-D3P,AM3+/AM3,ATX,4,32GB
ASRock FM2A88M EXTREME4+,FM2+,Micro ATX,4,64GB
Intel DG45ID,LGA775,Micro ATX,4,8GB
Gigabyte GA-Z170-HD3 DDR3,LGA1151,ATX,4,64GB
MSI H270I GAMING PRO AC,LGA1151,Mini ITX,2,32GB
MSI A320M GAMING PRO,AM4,Micro ATX,2,32GB
MSI Z270M MORTAR,LGA1151,Micro ATX,4,64GB
Gigabyte GA-Z270X-Gaming K7,LGA1151,ATX,4,64GB
Asus B150M-A D3,LGA1151,Micro ATX,4,64GB
MSI H270 GAMING M3,LGA1151,ATX,4,64GB
Gigabyte GA-B250M-Gaming 3,LGA1151,Micro ATX,4,64GB
Asus X99-A II,LGA2011-3,ATX,8,128GB
Gigabyte GA-78LMT-S2,AM3+,Micro ATX,2,16GB
Intel DH77DF,LGA1155,Mini ITX,2,16GB
ASRock H81M-DGS,LGA1150,Micro ATX,2,16GB
Gigabyte GA-F2A78M-HD2,FM2+,Micro ATX,2,64GB
Gigabyte GA-Z68XP-UD5,LGA1155,ATX,4,32GB
Asus Sabertooth Z87,LGA1150,ATX,4,32GB
MSI Z87-G45 Gaming,LGA1150,ATX,4,32GB
Asus STRIX B250H Gaming,LGA1151,ATX,4,64GB
ASRock H270 Pro4,LGA1151,ATX,4,64GB
Gigabyte GA-Z170XP-SLI,LGA1151,ATX,4,64GB
Gigabyte GA-B150M-D3H DDR3,LGA1151,Micro ATX,4,64GB
ASRock H97M WS,LGA1150,Micro ATX,4,32GB
Asus MAXIMUS IX APEX,LGA1151,EATX,2,32GB
ASRock EP2C602,LGA2011 x 2,SSI EEB,8,64GB
MSI 970A-G43,AM3+,ATX,4,32GB
ASRock Z97 Anniversary,LGA1150,ATX,4,32GB
Gigabyte GA-H270-HD3,LGA1151,ATX,4,64GB
ASRock Z270M Pro4,LGA1151,Micro ATX,4,64GB
ASRock H110M-ITX,LGA1151,Mini ITX,2,32GB
Asus MAXIMUS IX FORMULA,LGA1151,ATX,4,64GB
MSI X99A GAMING PRO CARBON,LGA2011-3,ATX,8,128GB
MSI Z270 PC MATE,LGA1151,ATX,4,64GB
Supermicro MBD-X11SSL-F-O,LGA1151,Micro ATX,4,64GB
Gigabyte Z370M D3H (rev. 1.0),LGA1151,Micro ATX,4,64GB
MSI X370 GAMING PRO CARBON AC,AM4,ATX,4,64GB
Gigabyte GA-H170M-D3H,LGA1151,Micro ATX,4,64GB
ASRock 970 Extreme3 R2.0,AM3+,ATX,4,64GB
MSI B150M GRENADE,LGA1151,Micro ATX,2,32GB
MSI B150 Gaming M3,LGA1151,ATX,4,64GB
MSI 990FXA-GAMING,AM3+/AM3,ATX,4,32GB
Asus P8Z77-V PRO,LGA1155,ATX,4,32GB
MSI B250 KRAIT GAMING,LGA1151,ATX,4,64GB
MSI A320M GRENADE,AM4,Micro ATX,2,32GB
Gigabyte GA-H270M-DS3H,LGA1151,Micro ATX,4,64GB
Asus ROG STRIX H270I GAMING,LGA1151,Mini ITX,2,32GB
MSI Z270 KRAIT GAMING,LGA1151,ATX,4,64GB
MSI A320M BAZOOKA,AM4,Micro ATX,4,64GB
MSI H110I PRO AC,LGA1151,Mini ITX,2,32GB
Asus Z170-PRO,LGA1151,ATX,4,64GB
Gigabyte GA-Z170X-Ultra Gaming,LGA1151,ATX,4,64GB
Asus ROG STRIX X99 GAMING,LGA2011-3,ATX,8,128GB
MSI H270 Gaming Pro Carbon,LGA1151,ATX,4,64GB
Asus X99-M WS,LGA2011-3,Micro ATX,4,64GB
Asus H110-PLUS,LGA1151,ATX,2,32GB
Asus Z170-AR,LGA1151,ATX,4,64GB
ASRock 990FX Killer,AM3+,ATX,4,64GB
Gigabyte GA-H97M-D3H,LGA1150,Micro ATX,4,32GB
Asus Rampage IV Black Edition,LGA2011,EATX,8,128GB
MSI B350M PRO-VH PLUS,AM4,Micro ATX,2,32GB
ASRock Fatal1ty X299 Professional Gaming i9 XE,LGA2066,ATX,8,128GB
ASRock Fatal1ty Z270 Gaming-ITX/ac,LGA1151,Mini ITX,2,32GB
Gigabyte GA-H110N,LGA1151,Mini ITX,2,32GB
ASRock H87WSA-DL,LGA1150,ATX,4,32GB
Gigabyte GA-Z270N-Gaming 5,LGA1151,Mini ITX,2,32GB
Asus P10S-M WS,LGA1151,Micro ATX,4,64GB
Asus PRIME H270-PRO,LGA1151,ATX,4,64GB
Gigabyte GA-Z270-Gaming K3,LGA1151,ATX,4,64GB
Asus Z270-WS,LGA1151,ATX,4,64GB
MSI H110M PRO-D,LGA1151,Micro ATX,2,32GB
Gigabyte GA-990FXA-UD3 R5,AM3+,ATX,4,32GB
Gigabyte GA-970A-UD3P,AM3+,ATX,4,32GB
Gigabyte X299 AORUS Gaming 3,LGA2066,ATX,8,128GB
Asus Z170-P,LGA1151,ATX,4,64GB
Asus X99-E WS/USB 3.1,LGA2011-3,SSI CEB,8,128GB
Intel DP35DPM,LGA775,ATX,4,8GB
ASRock X99 Extreme11,LGA2011-3,EATX,8,128GB
Asus Z170-DELUXE,LGA1151,ATX,4,64GB
Intel DG41CN,LGA775,Micro ATX,2,8GB
Asus SABERTOOTH Z170 S,LGA1151,ATX,4,64GB
Asus P7P55D-E LX,LGA1156,ATX,4,16GB
Asus P5QL/EPU,LGA775,ATX,4,16GB
Gigabyte GA-G41MT-S2PT,LGA775,Micro ATX,2,8GB
ASRock Fatal1ty 970 Performance,AM3+/AM3,ATX,4,64GB
MSI 760GMA-P34(FX),AM3+,Micro ATX,2,16GB
Gigabyte GA-Z270P-D3,LGA1151,ATX,4,64GB
Asus PRIME A320M-A,AM4,Micro ATX,4,64GB
Asus B85M-G,LGA1150,Micro ATX,4,32GB
MSI H110M ECO,LGA1151,Micro ATX,2,32GB
Gigabyte GA-Z270X-Gaming 5,LGA1151,ATX,4,64GB
ASRock 970M PRO3,AM3+/AM3,Micro ATX,4,64GB
MSI B150M MORTAR ARCTIC,LGA1151,Micro ATX,4,64GB
Gigabyte X299 AORUS Gaming 9,LGA2066,ATX,8,128GB
ASRock X99 Taichi,LGA2011-3,ATX,8,128GB
ASRock Z170A-X1/3.1,LGA1151,ATX,4,64GB
ASRock E3C226D2I,LGA1150,Mini ITX,2,16GB
EVGA X299 Micro,LGA2066,Micro ATX,4,64GB
ASRock Z97 EXTREME6,LGA1150,ATX,4,32GB
ASRock H110M-HDS,LGA1151,Micro ATX,2,32GB
Asus ROG MAXIMUS IX EXTREME,LGA1151,EATX,4,64GB
Gigabyte GA-Z270X-Gaming 7,LGA1151,ATX,4,64GB
MSI Z270 TOMAHAWK ARCTIC,LGA1151,ATX,4,64GB
Asus Maximus VI Formula,LGA1150,ATX,4,32GB
ASRock H110M-DGS,LGA1151,Micro ATX,2,32GB
Gigabyte GA-Z170N-Gaming 5,LGA1151,Mini ITX,2,32GB
ASRock X99E-ITX/ac,LGA2011-3 Narrow,Mini ITX,2,32GB
ASRock 970 Pro3 R2.0,AM3+,ATX,4,64GB
ASRock EP2C612 WS,LGA2011-3 x 2,SSI EEB,8,
Asus B150 PRO GAMING D3,LGA1151,ATX,4,64GB
Asus P9D-X,LGA1150,ATX,4,32GB
Intel DH67GD,LGA1155,Micro ATX,4,32GB
MSI Z170A MPOWER GAMING TITANIUM,LGA1151,ATX,4,64GB
ASRock EP2C612D16SM-2T,LGA2011-3 Narrow x 2,SSI EEB,16,1TB
Gigabyte GA-Z77X-UD3H,LGA1155,ATX,4,32GB
Asus PRIME A320M-C R2.0,AM4,Micro ATX,2,32GB
Supermicro MBD-X11SSH-LN4F,LGA1151,Micro ATX,4,64GB
Gigabyte GA-AX370-Gaming K3,AM4,ATX,4,64GB
MSI B250M PRO-VH,LGA1151,Micro ATX,2,32GB
Asus Z170-K,LGA1151,ATX,4,64GB
Asus B75M-Plus,LGA1155,Micro ATX,4,32GB
MSI Z170M Mortar,LGA1151,Micro ATX,4,64GB
EVGA X299 FTW K,LGA2066,EATX,8,128GB
MSI Z270 MPOWER GAMING TITANIUM,LGA1151,ATX,4,64GB
Asus H110I-PLUS/CSM,LGA1151,Mini ITX,2,32GB
ASRock H81M-DGS R2.0,LGA1150,Micro ATX,2,16GB
Gigabyte GA-Z170N-WIFI,LGA1151,Mini ITX,2,32GB
Intel DH61DLB3,LGA1155,Mini ITX,2,8GB
Gigabyte GA-Z97X-SLI,LGA1150,ATX,4,32GB
MSI X299 GAMING PRO CARBON,LGA2066,ATX,8,128GB
